id,regulated_entity_name,regulated_entity_rn_number,tracking_number,type_of_air_emissions_event,began_date,ended_date,duration
34562,KEYSTONE GAS PLANT,RN100238633,144946,EMISSIONS EVENT,2010-09-17 00:17:00+00:00,2010-09-17 03:46:00+00:00,3.48333333333333
35187,KEYSTONE GAS PLANT,RN100238633,145599,EMISSIONS EVENT,2010-10-01 17:15:00+00:00,2010-10-03 21:40:00+00:00,52.4166666666667
35876,KEYSTONE GAS PLANT,RN100238633,146327,EMISSIONS EVENT,2010-10-19 23:35:00+00:00,2010-10-20 03:30:00+00:00,3.91666666666667
36962,KEYSTONE GAS PLANT,RN100238633,147335,EMISSIONS EVENT,2010-11-12 13:36:00+00:00,2010-11-12 18:20:00+00:00,4.73333333333333
37010,KEYSTONE GAS PLANT,RN100238633,147362,EMISSIONS EVENT,2010-11-13 13:40:00+00:00,2010-11-13 17:25:00+00:00,3.75
37554,KEYSTONE GAS PLANT,RN100238633,147886,EMISSIONS EVENT,2010-11-29 16:40:00+00:00,2010-11-29 18:55:00+00:00,2.25
37910,KEYSTONE GAS PLANT,RN100238633,148231,EMISSIONS EVENT,2010-12-07 22:30:00+00:00,2010-12-09 21:55:00+00:00,47.4166666666667
38212,KEYSTONE GAS PLANT,RN100238633,148466,EMISSIONS EVENT,2010-12-14 16:04:00+00:00,2010-12-14 19:09:00+00:00,3.08333333333333
23590,KEYSTONE GAS PLANT,RN100238633,149128,EMISSIONS EVENT,2011-01-05 18:35:00+00:00,2011-01-06 16:25:00+00:00,21.8333333333333
23615,KEYSTONE GAS PLANT,RN100238633,149166,EMISSIONS EVENT,2011-01-06 13:28:00+00:00,2011-01-06 21:00:00+00:00,7.53333333333333
23888,KEYSTONE GAS PLANT,RN100238633,149438,EMISSIONS EVENT,2011-01-13 17:38:00+00:00,2011-01-13 20:21:00+00:00,2.71666666666667
24247,KEYSTONE GAS PLANT,RN100238633,149821,EMISSIONS EVENT,2011-01-24 21:10:00+00:00,2011-02-01 19:10:00+00:00,190.0
24832,KEYSTONE GAS PLANT,RN100238633,150286,EMISSIONS EVENT,2011-02-02 13:00:00+00:00,2011-03-06 13:40:00+00:00,768.666666666667
25291,KEYSTONE GAS PLANT,RN100238633,150661,EMISSIONS EVENT,2011-02-12 09:38:00+00:00,2011-02-12 22:08:00+00:00,12.5
25607,KEYSTONE GAS PLANT,RN100238633,150985,EMISSIONS EVENT,2011-02-18 16:36:00+00:00,2011-02-18 23:04:00+00:00,6.46666666666667
26588,KEYSTONE GAS PLANT,RN100238633,151275,EMISSIONS EVENT,2011-02-25 10:15:00+00:00,2011-02-25 21:20:00+00:00,11.0833333333333
26580,KEYSTONE GAS PLANT,RN100238633,151271,EMISSIONS EVENT,2011-02-25 18:57:00+00:00,2011-02-25 22:04:00+00:00,3.11666666666667
26893,KEYSTONE GAS PLANT,RN100238633,151645,EMISSIONS EVENT,2011-03-07 08:00:00+00:00,2011-03-08 02:36:00+00:00,18.6
27022,KEYSTONE GAS PLANT,RN100238633,151904,EMISSIONS EVENT,2011-03-13 03:30:00+00:00,2011-03-26 19:00:00+00:00,327.5
27332,KEYSTONE GAS PLANT,RN100238633,152226,EMISSIONS EVENT,2011-03-20 19:00:00+00:00,2011-03-21 00:30:00+00:00,5.5
27434,KEYSTONE GAS PLANT,RN100238633,152333,EMISSIONS EVENT,2011-03-22 17:30:00+00:00,2011-03-23 00:00:00+00:00,6.5
27806,KEYSTONE GAS PLANT,RN100238633,152719,EMISSIONS EVENT,2011-03-30 18:16:00+00:00,2011-04-01 12:00:00+00:00,41.7333333333333
27781,KEYSTONE GAS PLANT,RN100238633,152686,EMISSIONS EVENT,2011-03-30 18:22:00+00:00,2011-04-10 17:18:00+00:00,262.933333333333
27860,KEYSTONE GAS PLANT,RN100238633,152767,EMISSIONS EVENT,2011-04-01 12:00:00+00:00,2011-04-02 12:00:00+00:00,24.0
27869,KEYSTONE GAS PLANT,RN100238633,152774,EMISSIONS EVENT,2011-04-02 19:45:00+00:00,2011-04-03 03:50:00+00:00,8.08333333333333
28308,KEYSTONE GAS PLANT,RN100238633,153119,EMISSIONS EVENT,2011-04-08 04:00:00+00:00,2011-04-08 18:55:00+00:00,14.9166666666667
28444,KEYSTONE GAS PLANT,RN100238633,153252,EMISSIONS EVENT,2011-04-12 15:30:00+00:00,2011-04-12 22:00:00+00:00,6.5
28631,KEYSTONE GAS PLANT,RN100238633,153419,EMISSIONS EVENT,2011-04-18 05:55:00+00:00,2011-04-18 23:45:00+00:00,17.8333333333333
29050,KEYSTONE GAS PLANT,RN100238633,153582,EMISSIONS EVENT,2011-04-20 18:10:00+00:00,2011-04-20 22:30:00+00:00,4.33333333333333
29113,KEYSTONE GAS PLANT,RN100238633,153646,EMISSIONS EVENT,2011-04-21 21:12:00+00:00,2011-04-22 21:12:00+00:00,24.0
29147,KEYSTONE GAS PLANT,RN100238633,153663,EMISSIONS EVENT,2011-04-23 23:10:00+00:00,2011-04-24 07:20:00+00:00,8.16666666666667
29241,KEYSTONE GAS PLANT,RN100238633,153731,EMISSIONS EVENT,2011-04-25 16:27:00+00:00,2011-04-26 18:12:00+00:00,25.75
29473,KEYSTONE GAS PLANT,RN100238633,153893,EMISSIONS EVENT,2011-04-28 16:17:00+00:00,2011-04-28 21:40:00+00:00,5.38333333333333
29556,KEYSTONE GAS PLANT,RN100238633,153959,EMISSIONS EVENT,2011-04-29 15:00:00+00:00,2011-04-30 02:00:00+00:00,11.0
29571,KEYSTONE GAS PLANT,RN100238633,153966,EMISSIONS EVENT,2011-04-30 15:35:00+00:00,2011-05-01 01:00:00+00:00,9.41666666666667
29673,KEYSTONE GAS PLANT,RN100238633,154045,EMISSIONS EVENT,2011-05-02 09:09:00+00:00,2011-05-02 16:20:00+00:00,7.18333333333333
